FSSSI,CERTHHSZ,FSSLTDED,FSERNDED,FSUSIZE,FSDIS,REALPROP,FSERNDE2,SHELDED,FSGA,FSSTDDE2,FSNETINC,TPOV,LIQRESOR,FSASSET,RAWNET,FSNONCIT,FSNELDER,FSGRINC,FSTANF,WRK_POOR,FSEARN,FSSLTDE2,TANF_IND,FSWAGES,FSUNEARN,HWGT,FSTOTDE2,FSTOTDED,RAWERND,CAT_ELIG,VEHICLEA,FSVEHAST
0.0,1.0,383.0,0.0,1.0,0.0,0.0,0.0,405.0,0.0,201.0,45.0,69.0,0.0,0.0,0.0,0.0,1.0,562.0,0.0,0.0,0.0,383.0,0.0,0.0,562.0,726.8699045935957,517.0,517.0,0.0,0.0,1.0,0.0
176.0,1.0,343.0,0.0,1.0,0.0,0.0,0.0,343.0,0.0,126.0,0.0,49.0,419.0,419.0,0.0,0.0,1.0,402.0,0.0,0.0,0.0,268.0,0.0,0.0,402.0,711.655694960853,402.0,477.0,0.0,1.0,1.0,0.0
0.0,4.0,175.0,125.0,4.0,0.0,0.0,188.0,175.0,0.0,209.0,187.0,38.0,194.0,194.0,187.0,0.0,0.0,626.0,0.0,1.0,626.0,175.0,0.0,626.0,0.0,779.8308396397807,439.0,439.0,125.0,0.0,1.0,0.0
0.0,4.0,61.0,215.0,4.0,0.0,0.0,276.0,61.0,0.0,200.0,781.0,75.0,0.0,0.0,781.0,0.0,0.0,1243.0,0.0,1.0,1075.0,61.0,0.0,1075.0,168.0,973.2686478004877,462.0,462.0,215.0,0.0,1.0,0.0
0.0,3.0,0.0,170.0,3.0,1.0,0.0,170.0,0.0,0.0,134.0,1242.0,112.0,0.0,0.0,1241.0,0.0,0.0,1546.0,0.0,1.0,854.0,0.0,0.0,854.0,692.0,1109.9305576091976,304.0,304.0,171.0,0.0,1.0,0.0
0.0,1.0,130.0,0.0,1.0,0.0,0.0,0.0,130.0,0.0,201.0,393.0,80.0,0.0,0.0,393.0,0.0,1.0,657.0,0.0,0.0,0.0,130.0,0.0,0.0,657.0,839.8897475593062,264.0,264.0,0.0,0.0,1.0,0.0
0.0,6.0,417.0,120.0,6.0,0.0,0.0,0.0,417.0,0.0,30.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,602.0,0.0,1.0,602.0,261.0,0.0,602.0,0.0,747.7609155795811,602.0,758.0,120.0,0.0,1.0,0.0
0.0,2.0,417.0,0.0,2.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,13.0,0.0,0.0,147.0,705.4012962642041,147.0,551.0,0.0,0.0,1.0,0.0
18.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,134.0,790.0,84.0,0.0,0.0,790.0,0.0,2.0,924.0,0.0,0.0,0.0,0.0,0.0,0.0,924.0,962.9561307354808,134.0,134.0,0.0,1.0,1.0,0.0
0.0,3.0,92.0,0.0,3.0,0.0,0.0,0.0,92.0,0.0,201.0,188.0,30.0,267.0,267.0,188.0,0.0,0.0,414.0,0.0,0.0,0.0,92.0,0.0,0.0,414.0,765.4373824019225,226.0,226.0,0.0,0.0,1.0,0.0
0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,134.0,255.0,28.0,0.0,0.0,255.0,0.0,0.0,389.0,389.0,0.0,0.0,0.0,1.0,0.0,389.0,788.2586968401358,134.0,134.0,0.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,711.655694960853,40.0,134.0,0.0,0.0,1.0,0.0
0.0,2.0,173.0,202.0,2.0,0.0,0.0,303.0,173.0,231.0,201.0,735.0,113.0,0.0,0.0,734.0,0.0,1.0,1244.0,0.0,1.0,1013.0,173.0,0.0,1013.0,231.0,945.5684625756128,509.0,509.0,203.0,0.0,1.0,0.0
603.0,1.0,413.0,0.0,1.0,1.0,0.0,0.0,463.0,0.0,201.0,56.0,74.0,0.0,0.0,5.0,0.0,0.0,603.0,0.0,0.0,0.0,413.0,0.0,0.0,603.0,730.1300923602862,547.0,547.0,0.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,134.0,747.0,108.0,0.0,0.0,747.0,0.0,0.0,881.0,0.0,0.0,0.0,0.0,0.0,0.0,881.0,869.2314375616087,134.0,134.0,0.0,0.0,1.0,0.0
0.0,1.0,198.0,0.0,1.0,0.0,0.0,0.0,198.0,0.0,201.0,537.0,113.0,0.0,0.0,536.0,0.0,1.0,923.0,0.0,0.0,0.0,198.0,0.0,0.0,923.0,869.2314375616089,386.0,386.0,0.0,0.0,1.0,0.0
156.0,2.0,129.0,0.0,2.0,1.0,0.0,0.0,129.0,0.0,201.0,677.0,85.0,0.0,0.0,677.0,0.0,0.0,940.0,231.0,0.0,0.0,129.0,1.0,0.0,940.0,926.0073359137073,263.0,263.0,0.0,1.0,1.0,0.0
247.0,2.0,119.0,0.0,2.0,0.0,0.0,0.0,119.0,0.0,201.0,370.0,57.0,0.0,0.0,370.0,0.0,1.0,623.0,0.0,0.0,0.0,119.0,0.0,0.0,623.0,826.0282440535424,253.0,253.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,231.0,134.0,97.0,28.0,0.0,0.0,97.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,743.1708434696594,134.0,134.0,0.0,1.0,1.0,0.0
0.0,3.0,0.0,325.0,3.0,0.0,0.0,325.0,0.0,0.0,134.0,1166.0,117.0,210.0,210.0,1166.0,0.0,0.0,1625.0,0.0,1.0,1625.0,0.0,0.0,1625.0,0.0,1084.9357846450434,459.0,459.0,325.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,231.0,134.0,97.0,28.0,0.0,0.0,97.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,743.1708434696594,134.0,134.0,0.0,1.0,1.0,0.0
523.0,7.0,250.0,0.0,7.0,1.0,0.0,0.0,250.0,0.0,279.0,714.0,46.0,0.0,0.0,714.0,1.0,0.0,1150.0,294.0,0.0,0.0,250.0,1.0,0.0,1150.0,1029.4897706171243,436.0,436.0,0.0,1.0,1.0,0.0
0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,705.4012962642041,100.0,134.0,0.0,0.0,1.0,0.0
25.0,1.0,337.0,0.0,1.0,1.0,0.0,0.0,337.0,0.0,201.0,152.0,76.0,2.0,2.0,151.0,0.0,0.0,623.0,0.0,0.0,0.0,337.0,0.0,0.0,623.0,761.6452408870326,471.0,471.0,0.0,1.0,1.0,0.0
